# t    x    y    z    z_dot    theta    theta_dot    Energia
  9.500000      -0.094123      -0.420472       0.130878       0.395165      -0.220220       1.598156      -0.295321
  9.600000      -0.023947      -0.453103       0.153736       0.038258      -0.052802       1.730906      -0.295407
  9.700000       0.054044      -0.434429       0.137777      -0.328056       0.123766       1.780480      -0.295503
  9.800000       0.116319      -0.380036       0.097438      -0.425758       0.297019       1.619065      -0.295577
  9.900000       0.151218      -0.330116       0.063102      -0.228840       0.429549       0.928230      -0.295636
 10.000000       0.159630      -0.318270       0.056059       0.089036       0.464889      -0.254149      -0.295705
 10.100000       0.142366      -0.351495       0.079232       0.348919       0.384834      -1.270072      -0.295742
 10.200000       0.095859      -0.407355       0.118482       0.389755       0.231116      -1.723692      -0.295814
 10.300000       0.023549      -0.446554       0.147175       0.149132       0.052687      -1.810475      -0.295883
 10.400000      -0.056042      -0.440178       0.143731      -0.210392      -0.126636      -1.755976      -0.295952
 10.500000      -0.118671      -0.392658       0.110199      -0.416866      -0.293497      -1.532840      -0.296022
 10.600000      -0.150935      -0.338458       0.070587      -0.331781      -0.419479      -0.897597      -0.296078
 10.700000      -0.154635      -0.315914       0.051730      -0.025468      -0.455201       0.231599      -0.296168
 10.800000      -0.134889      -0.341823       0.067475       0.325258      -0.375857       1.279002      -0.296229
 10.900000      -0.090471      -0.400080       0.110182       0.474371      -0.222393       1.695494      -0.296344
 11.000000      -0.022991      -0.448703       0.149291       0.254321      -0.051194       1.696311      -0.296461
 11.100000       0.051522      -0.449799       0.152740      -0.187483       0.114048       1.601275      -0.296569
 11.200000       0.109853      -0.401531       0.116287      -0.489758       0.267050       1.425418      -0.296690
 11.300000       0.139201      -0.340591       0.067939      -0.417094       0.387987       0.906104      -0.296785
 11.400000       0.142989      -0.312660       0.043805      -0.038916       0.428934      -0.147339      -0.296921
 11.500000       0.127569      -0.339069       0.062273       0.385401       0.359851      -1.157476      -0.297019
 11.600000       0.090149      -0.401831       0.111819       0.538165       0.220692      -1.536395      -0.297181
 11.700000       0.029544      -0.453534       0.154495       0.257263       0.065050      -1.553728      -0.297331
 11.800000      -0.040413      -0.453249       0.155047      -0.241036      -0.088927      -1.524463      -0.297473
 11.900000      -0.097729      -0.401270       0.113000      -0.536880      -0.238899      -1.443141      -0.297628
 12.000000      -0.129894      -0.338746       0.062796      -0.404208      -0.366162      -1.007904      -0.297738
 12.100000      -0.139524      -0.312932       0.042627       0.018689      -0.419407       0.008627      -0.297883
 12.200000      -0.130753      -0.342150       0.066283       0.421226      -0.365025       1.009127      -0.297980
 12.300000      -0.098346      -0.404488       0.116272       0.511325      -0.238509       1.441753      -0.298124
 12.400000      -0.039850      -0.452429       0.154180       0.198547      -0.087854       1.549087      -0.298254
 12.500000       0.031408      -0.449020       0.150117      -0.265877       0.069834       1.598911      -0.298380
 12.600000       0.093184      -0.398137       0.108896      -0.497049       0.229911       1.562792      -0.298510
 12.700000       0.131554      -0.339975       0.064540      -0.338075       0.369208       1.123083      -0.298593
 12.800000       0.146583      -0.316974       0.049227       0.040490       0.433154       0.090708      -0.298703
 12.900000       0.140114      -0.343811       0.071266       0.369802       0.386984      -0.954744      -0.298765
 13.000000       0.106916      -0.400262       0.114296       0.436586       0.261020      -1.486121      -0.298856
 13.100000       0.045571      -0.444789       0.147118       0.180678       0.102100      -1.660078      -0.298941
 13.200000      -0.029964      -0.444488       0.145497      -0.203824      -0.067311      -1.712323      -0.299023
 13.300000      -0.096551      -0.400710       0.112178      -0.415133      -0.236444      -1.625887      -0.299105
 13.400000      -0.138245      -0.346778       0.073318      -0.319101      -0.379347      -1.140433      -0.299157
 13.500000      -0.153044      -0.320808       0.055444      -0.025133      -0.445127      -0.110911      -0.299233
 13.600000      -0.143389      -0.339918       0.068923       0.278525      -0.399187       0.981107      -0.299278
 13.700000      -0.107015      -0.391085       0.105463       0.408897      -0.267097       1.573059      -0.299343
 13.800000      -0.043962      -0.438233       0.140432       0.246538      -0.099982       1.724386      -0.299421
 13.900000       0.032259      -0.446415       0.147579      -0.110006       0.072136       1.699800      -0.299490
 14.000000       0.098573      -0.409184       0.120890      -0.386644       0.236397       1.550594      -0.299567
 14.100000       0.138130      -0.354132       0.080118      -0.380398       0.371902       1.081449      -0.299625
 14.200000       0.149145      -0.321150       0.054092      -0.112877       0.434771       0.106310      -0.299710
 14.300000       0.136768      -0.334165       0.061070       0.245769       0.388484      -0.988471      -0.299779
 14.400000       0.101052      -0.385589       0.098610       0.458126       0.256307      -1.557758      -0.299870
 14.500000       0.041355      -0.438660       0.140605       0.324761       0.093997      -1.643407      -0.299988
 14.600000      -0.030625      -0.452503       0.153538      -0.081455      -0.067577      -1.578227      -0.300086
 14.700000      -0.092952      -0.415567       0.125836      -0.431497      -0.220053      -1.447188      -0.300200
 14.800000      -0.129475      -0.356110       0.078917      -0.446293      -0.348723      -1.052656      -0.300291
 14.900000      -0.139603      -0.319137       0.048336      -0.131120      -0.412359      -0.143593      -0.300407
 15.000000      -0.129554      -0.332396       0.056751       0.288280      -0.371647       0.914126      -0.300504
 15.100000      -0.098552      -0.387276       0.099619       0.511753      -0.249186       1.440690      -0.300631
 15.200000      -0.044026      -0.442763       0.144946       0.332716      -0.099110       1.524162      -0.300772
 15.300000       0.023884      -0.455270       0.155896      -0.124158       0.052413       1.501726      -0.300895
 15.400000       0.084316      -0.414842       0.123324      -0.476685       0.200518       1.437716      -0.301034
 15.500000       0.121771      -0.353685       0.074060      -0.443997       0.331581       1.105196      -0.301138
 15.600000       0.135510      -0.318681       0.046295      -0.082932       0.402058       0.224127      -0.301264
 15.700000       0.130249      -0.335313       0.059721       0.330797       0.370501      -0.813145      -0.301359
 15.800000       0.103099      -0.391012       0.104376       0.502228       0.257804      -1.355397      -0.301480
 15.900000       0.050474      -0.443448       0.146311       0.281346       0.113334      -1.500524      -0.301605
 16.000000      -0.017714      -0.451982       0.152329      -0.162415      -0.039173      -1.542429      -0.301717
 16.100000      -0.080566      -0.410746       0.118573      -0.460320      -0.193687      -1.518895      -0.301839
 16.200000      -0.122038      -0.352782       0.073294      -0.388299      -0.333045      -1.183424      -0.301922
 16.300000      -0.139859      -0.321561       0.050660      -0.045140      -0.410259      -0.282549      -0.302027
 16.400000      -0.136721      -0.338459       0.065030       0.310469      -0.383909       0.771800      -0.302095
 16.500000      -0.109119      -0.390320       0.105286       0.442932      -0.272604       1.373341      -0.302179
 16.600000      -0.054320      -0.438613       0.141963       0.244847      -0.123218       1.575553      -0.302269
 16.700000       0.016959      -0.447081       0.147402      -0.137007       0.037915       1.632139      -0.302349
 16.800000       0.083204      -0.410143       0.118498      -0.397773       0.200149       1.577634      -0.302435
 16.900000       0.127259      -0.356579       0.078607      -0.352371       0.342799       1.193434      -0.302492
 17.000000       0.145350      -0.325414       0.056400      -0.072672       0.420076       0.278731      -0.302569
 17.100000       0.139905      -0.337856       0.065677       0.245060       0.392599      -0.796830      -0.302621
